50 2
1.00	-0.60
1.00	-0.30
1.00	-0.12
1.00	0.00
1.00	0.10
1.00	0.18
1.00	0.24
1.00	0.30
1.00	0.35
1.00	0.40
1.00	0.44
1.00	0.48
1.00	0.51
1.00	0.54
1.00	0.57
1.00	0.60
1.00	0.63
1.00	0.65
1.00	0.68
1.00	0.70
1.00	0.78
1.00	0.85
1.00	0.90
1.00	0.95
1.00	1.00
1.00	1.04
1.00	1.08
1.00	1.11
1.00	1.15
1.00	1.18
1.00	1.20
1.00	1.23
1.00	1.26
1.00	1.28
1.00	1.30
1.00	1.32
1.00	1.34
1.00	1.36
1.00	1.38
1.00	1.40
1.00	1.41
1.00	1.43
1.00	1.45
1.00	1.46
1.00	1.48
1.00	1.49
1.00	1.51
1.00	1.52
1.00	1.53
1.00	1.54


